<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"Guwahati Government Blind School",School,"151, Army Hospital, Latakata, Basishta",Guwahati,Assam,781029,9864289560,,,,"Type School: Upper Primary Co.Ed. Residential school from Pre School/Nursery to Class VIII - Admission Time: February - Fee Structure: Free - Other Facilities in the School: Braille appliances, sports &amp; cultural activities, etc.",,
"GUWAHATI MEDICAL COLLEGE EYE BANK - REGIONAL INSTITUTE OF OPTHALOMOLOGY","Eye Bank","GAUHATI MEDICAL COLLEGE &amp; HOSPITAL Bhangagarh",Kamrup,Assam,781032,9864067474,,gmch-asm@nic.in,,,,
"JEUTI EYE BANK","Eye Bank","CHANDRAPRABHA EYE HOSPITAL K.K. Handique Path",Jorhat,Assam,785001,3762304500,9854267563,,,,,
"Jorhat Blind Institute (Directorate General of",School,"Ward No.16, PO Jorhat Nali",Jorhat,Assam,785001,0376-2321733,9954455532,,,"Type School: Upper Primary Co.Ed. Residential school from Pre School/Nursery to Class VIII - Admission Time: January - Fee Structure: Free - Other Facilities in the School: School is providing services such as vocational training, library services, Braille appliances, writers, sports &amp; cultural activities, etc.",,
"Jyoti Niketan School for the Blind",School,"Thimmaya Marg, Satgaon Main Rd, Udayan Vihar Post Office, Narengi, Kalitakuchi, Satgaon, ",Guwahati,Assam,781171,0361-2640977,,mvs_patnaik@yahoo.com,,"Type School: Upper Primary Co.Ed. Residential school from Pre School/Nursery to Class VIII - Admission Time: March - Fee Structure: Free - Other Facilities in the School: School is providing services such as Braille appliances, Braille books, sports &amp; cultural activities, etc.",,
"Moran Blind School (JAAB)",School,"A T Road, Phatikchua, Moranhat Dist.",Dibrugarh,Assam,785670,03754-251155,9864388384,moran.blind@gmail.com,www.moranblindschool.com,"Type School: Secondary Co.Ed. Residential school from Class I to X - Admission Time: January to February - Fee Structure: Free - Other Facilities in the School: School is providing services such as Braille library &amp; talking book library, Braille appliances, sports &amp; cultural activities, and self employment. Vocational Training DESCRIPTION - Apart from School, center is providing services such as vocational training, consultancy for setting up vocational training programs, career counseling, community based rehabilitation services, etc.",,
"NALBARI EYE HOSPITAL","Eye Bank","NALBARI EYE HOSPITAL, Bidyapur",,Assam,781335,9864149420,,info@nalbarieyehospital.in,,,,
"National Federation of the Blind","Vocational Training","H. No 36, 1st floor, North East Development Centre, Pragati Byane, Vishnu Radhan Path, Chandan Nagar, PO Beltata",Guwahati,Assam,781028,9957564245,,,,"'- Association is providing services such as: - Support for setting up vocational training programs. - Aids and appliances. - Braille and Talking book libraries. - Placement services. - Sports and cultural activities, etc.",,
"National Handicapped Finance and Development","Vocational Training","Assam Cooperative Apex Bank, Pan Bazar",Guwahati,Assam,781001,0361-2546413,,acab_gha@yahoo.com,,"'- Financial body is providing support for setting up vocational training programs, and income generation activities. - Placement cell, self employment, provision of machinery &amp; equipment, loans, etc.",,
"Sarva Shiksha Abhiyan","Government Department","SSA &amp; DPEP, Kahilipara",Guwahati,Assam,781019,0361-2386452,9435310092,gitikads@rediffmail.com,,"'- Government department is providing support for School from Class I to X. Department also provides support for setting up vocational training programs.",,
"Secretary &amp; Commissioner (Disability)","Government Department","Commissioner, Disabilities, Govt. of Assam","Latakata Basistha",Assam,781029,0361-2300724,,,,"'- Implementation of provisions under The Persons with Disabilities Act, 1995 at state level, monitoring and grievance redressal.",,
"Shri Sankaradeva Netralaya","Eye Bank","96, Basistha Road, Beltola",Guwahati,Assam,781028,0361-2228879,,ssnghy1@gmail.com,www.ssnguwahati.org3,"'- Eye hospital and medical certifications",,
"SILCHAR MEDICAL COLLEGE &amp; HOSPITAL","Eye Bank","SILCHAR MEDICAL COLLEGE Ghungoor, Dist Cachar",Silchar,Assam,788014,943555483,,smc-asm@nic.in,,,,
"SRI SANKARADEVA NETHRALAYA EYE BANK","Eye Bank","SRI SANKARDEVA NETRALAYA 96, Basistha Road, Beltola",Guwahati,Assam,781028,"3612233444 / 2228879",9864367777,ssnghy1@gmail.com,,,,
"Srimanta Sankar Mission Blind School",School,"Barhampur Grant, Kathiatoli, Barhampur",Nagaon,Assam,782120,03672-255081,9954187645,debenbora@gmail.com,,"Type of School: Secondary Co.Ed. Residential school from Class IX to X - Admission Time: January - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing service such as vocational training, sports and cultural activities, etc.",,
"VRC for Handicapped","Vocational Training","Old Women Building, DECT Campus, A.K Azad Rd, Rehabari",Guwahati,Assam,781008,0361-2607858,9707344361,vrcguwahati@hub.nic.in,,"'- Vocational training institute is providing services such as: - Career counseling &amp; placement cell. - Proposing nomination for employment. - Training for employment, etc.",,
"AB Eye Institute","Eye Bank","Road No.12, Near Bahadurpur Gumti, Rajendra Nagar  ",Patna,Bihar,800016,0612-2670292,09431622222,abeyeinstitute@gmail.com,www.abeye.org,"'- Eye hospital and medical certification.",,
"Bihar Blind Peoples Care Society",School,"Road No-03 Chandnari Road, 339 M.I.G. Kankarbagh Colony, Kankarbagh",Patna,Bihar,800020,0612-2317250,,,www.braille-aids.com,"Type of School: Elementary Co.Ed. Residential school (Pre School/Nursery) - Admission Time: Round the year - Fee Structure: As per programs. - Other Facilities in the School: Apart from School, school is providing service such as placement cell, self employment, provision of machinery &amp; equipment, training for employment, group placements, self help for employment, loans etc.",,
"Bihar College of Physiotherapy and Occupational","Eye Bank","Housing Board Colony, Viklang Bhavan Hospital Artificial Limb Centre, Kankarbagh",Patna,Bihar,800020,0612-2682881,09934800911,kishorekumarddo@rediffmail.com,,"'- Eye hospital and medical certification.",,
"Bihar Netraheen Parishad’s School for Blind Girls",School,"Bihar Netraheen Parishad, Anthar Jyoti Balika Vidyalaya, near Panschsheel High School, Kumhrar, ",Patna,Bihar,800026,0612-2684019,9334101956,bnpkpb@gmail.com,biharnetraheenparishad.org,"Type of School: Secondary residential school for the girls from Pre School/ Nursery to Class X - Time of Admission: March - Fee Structure: - - Other facilities in the School: Apart from School, school is providing services such as placement cell, self employment, provision of machinery &amp; equipment, training for employment, group placements, self help for employment and vocational training.",,
"Bihar Rajya Netraheen Kalyan Saugh",School,"Park Road, Near Nala Road More Kadam Kuan",Patna,Bihar,800123,06182-276118,,,,"Type of School: Elementary Co.Ed. Residential school (Pre School/Nursery) - Time of Admission: July/December - Fee Structure: As per programme - Other Facilities in the School: Apart from School, centre is providing services such as setting up vocational training programs, placement cell, self employment, provision of machinery &amp; equipment, training for employment, group placements, loans and vocational training.",,
"Bihar State Backward Classes Finance Development","vocational training","4th Floor, Sone Bhawan, Birchand Patel Marg, Veerchand Patel Road Area, ",Patna,Bihar,800001,,,bsbcfdcpatna@rediffmail.com,www.bsbcfdcpatna.hpage.in,"'- Financial body is providing services such as: - Setting up vocational training programs. - Setting up income generation activities. - Self employment, provision of machinery &amp; equipment, self help for employment, loans, etc.",,
"Blind Arya Samaj Mandir","Vocational Training","Chakaud Bazar",Gaya,Bihar,823004,0631-236149,9334634946,,,"'- Centre is providing services such as vocational training, cultural activities, sports and other miscellaneous services.",,
"DADHICHI DEH DAN SAMITI","Eye Bank","Arya Bhawan, Khajpura, Bailey Road",,Bihar,800014,8084053399,9431017530,bkjain0001@gmail.com,,,,
"Disability Commissioner","Government Department","Government of Bihar, Dept. of Social Security, Sinchai Bhawan, Old Secretariat, ",Patna,Bihar,800015,,,,,"'- Implementation of provisions under The Persons with Disabilities Act, 1995 at state level, monitoring and grievance redressal.",,
